
.env                      | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

app-path-routes-manifest. | 0 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

build-manifest.json       | 0 kB |   0.6 kB/s | ETA: 00:00:00 | 100%

BUILD_ID                  | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

index.mjs                 | 0 kB |   0.6 kB/s | ETA: 00:00:00 | 100%

client.js                 | 4 kB |   4.0 kB/s | ETA: 00:00:03 |  21%
client.js                 | 18 kB |  18.3 kB/s | ETA: 00:00:00 | 100%

connection-parameters.js  | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  78%
connection-parameters.js  | 5 kB |   5.1 kB/s | ETA: 00:00:00 | 100%

connection.js             | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  79%
connection.js             | 5 kB |   5.1 kB/s | ETA: 00:00:00 | 100%

cert-signatures.js        | 4 kB |   4.0 kB/s | ETA: 00:00:00 | 100%

sasl.js                   | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  55%
sasl.js                   | 7 kB |   7.2 kB/s | ETA: 00:00:00 | 100%

utils-legacy.js           | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

utils-webcrypto.js        | 2 kB |   2.6 kB/s | ETA: 00:00:00 | 100%

utils.js                  | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

defaults.js               | 2 kB |   2.4 kB/s | ETA: 00:00:00 | 100%

index.js                  | 1 kB |   1.7 kB/s | ETA: 00:00:00 | 100%

client.js                 | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  50%
client.js                 | 7 kB |   7.9 kB/s | ETA: 00:00:00 | 100%

index.js                  | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

query.js                  | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  86%
query.js                  | 4 kB |   4.6 kB/s | ETA: 00:00:00 | 100%

query.js                  | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  56%
query.js                  | 7 kB |   7.1 kB/s | ETA: 00:00:00 | 100%

result.js                 | 2 kB |   2.7 kB/s | ETA: 00:00:00 | 100%

stream.js                 | 2 kB |   2.1 kB/s | ETA: 00:00:00 | 100%

type-overrides.js         | 0 kB |   0.8 kB/s | ETA: 00:00:00 | 100%

utils.js                  | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  72%
utils.js                  | 5 kB |   5.5 kB/s | ETA: 00:00:00 | 100%

LICENSE                   | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

.travis.yml               | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

index.d.ts                | 2 kB |   2.6 kB/s | ETA: 00:00:00 | 100%

index.js                  | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

index.test-d.ts           | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

arrayParser.js            | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

binaryParsers.js          | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  67%
binaryParsers.js          | 5 kB |   5.9 kB/s | ETA: 00:00:00 | 100%

builtins.js               | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

textParsers.js            | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  76%
textParsers.js            | 5 kB |   5.2 kB/s | ETA: 00:00:00 | 100%

Makefile                  | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

package.json              | 0 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

README.md                 | 3 kB |   3.7 kB/s | ETA: 00:00:00 | 100%

index.js                  | 0 kB |   0.6 kB/s | ETA: 00:00:00 | 100%

types.js                  | 4 kB |   4.0 kB/s | ETA: 00:00:01 |  34%
types.js                  | 11 kB |  11.5 kB/s | ETA: 00:00:00 | 100%

index.d.ts                | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

index.js                  | 2 kB |   2.3 kB/s | ETA: 00:00:00 | 100%

license                   | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

package.json              | 0 kB |   0.6 kB/s | ETA: 00:00:00 | 100%

readme.md                 | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

index.js                  | 0 kB |   0.8 kB/s | ETA: 00:00:00 | 100%

license                   | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

package.json              | 0 kB |   0.6 kB/s | ETA: 00:00:00 | 100%

readme.md                 | 0 kB |   0.5 kB/s | ETA: 00:00:00 | 100%

index.js                  | 2 kB |   2.6 kB/s | ETA: 00:00:00 | 100%

license                   | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

package.json              | 0 kB |   0.6 kB/s | ETA: 00:00:00 | 100%

readme.md                 | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

index.d.ts                | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

index.js                  | 3 kB |   3.3 kB/s | ETA: 00:00:00 | 100%

license                   | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

package.json              | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

readme.md                 | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

package.json              | 1 kB |   1.6 kB/s | ETA: 00:00:00 | 100%

README.md                 | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  94%
README.md                 | 4 kB |   4.2 kB/s | ETA: 00:00:00 | 100%

.eslintignore             | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

.eslintrc                 | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

dependabot.yml            | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

bench.yml                 | 1 kB |   1.4 kB/s | ETA: 00:00:00 | 100%

ci.yml                    | 2 kB |   2.2 kB/s | ETA: 00:00:00 | 100%

lock-threads.yml          | 0 kB |   0.8 kB/s | ETA: 00:00:00 | 100%

publish-release.yml       | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

target-main.yml           | 0 kB |   0.5 kB/s | ETA: 00:00:00 | 100%

.prettierignore           | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

.taprc.yaml               | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

basic.bench.js            | 2 kB |   2.1 kB/s | ETA: 00:00:00 | 100%

child-child.bench.js      | 1 kB |   1.4 kB/s | ETA: 00:00:00 | 100%

child-creation.bench.js   | 1 kB |   1.9 kB/s | ETA: 00:00:00 | 100%

child.bench.js            | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

deep-object.bench.js      | 2 kB |   2.0 kB/s | ETA: 00:00:00 | 100%

formatters.bench.js       | 0 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

custom-levels.js          | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

just-pino-heavy.bench.js  | 1 kB |   1.9 kB/s | ETA: 00:00:00 | 100%

just-pino.bench.js        | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  81%
just-pino.bench.js        | 4 kB |   4.9 kB/s | ETA: 00:00:00 | 100%

parent-vs-child.bench.js  | 1 kB |   1.9 kB/s | ETA: 00:00:00 | 100%

redact.bench.js           | 2 kB |   2.7 kB/s | ETA: 00:00:00 | 100%

long-string.bench.js      | 1 kB |   1.8 kB/s | ETA: 00:00:00 | 100%

multi-arg.bench.js        | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  76%
multi-arg.bench.js        | 5 kB |   5.3 kB/s | ETA: 00:00:00 | 100%

multistream.js            | 2 kB |   2.3 kB/s | ETA: 00:00:00 | 100%

object.bench.js           | 1 kB |   2.0 kB/s | ETA: 00:00:00 | 100%

generate-benchmark-doc.js | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

runbench.js               | 3 kB |   3.7 kB/s | ETA: 00:00:00 | 100%

wrap-log-level.js         | 1 kB |   1.4 kB/s | ETA: 00:00:00 | 100%

bin.js                    | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

browser.js                | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  28%
browser.js                | 14 kB |  14.1 kB/s | ETA: 00:00:00 | 100%

sync-version.js           | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

CNAME                     | 0 kB |   0.0 kB/s | ETA: 00:00:00 | 100%

CONTRIBUTING.md           | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

api.md                    | 4 kB |   4.0 kB/s | ETA: 00:00:11 |   7%
api.md                    | 51 kB |  51.1 kB/s | ETA: 00:00:00 | 100%

asynchronous.md           | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

benchmarks.md             | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

browser.md                | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  53%
browser.md                | 7 kB |   7.5 kB/s | ETA: 00:00:00 | 100%

bundling.md               | 1 kB |   1.8 kB/s | ETA: 00:00:00 | 100%

child-loggers.md          | 2 kB |   2.8 kB/s | ETA: 00:00:00 | 100%

diagnostics.md            | 0 kB |   0.8 kB/s | ETA: 00:00:00 | 100%

ecosystem.md              | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  72%
ecosystem.md              | 5 kB |   5.5 kB/s | ETA: 00:00:00 | 100%

help.md                   | 4 kB |   4.0 kB/s | ETA: 00:00:01 |  34%
help.md                   | 11 kB |  11.6 kB/s | ETA: 00:00:00 | 100%

lts.md                    | 2 kB |   2.9 kB/s | ETA: 00:00:00 | 100%

pretty.md                 | 0 kB |   0.9 kB/s | ETA: 00:00:00 | 100%

redaction.md              | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  95%
redaction.md              | 4 kB |   4.2 kB/s | ETA: 00:00:00 | 100%

transports.md             | 4 kB |   4.0 kB/s | ETA: 00:00:08 |  10%
transports.md             | 37 kB |  38.0 kB/s | ETA: 00:00:00 | 100%

web.md                    | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  66%
web.md                    | 6 kB |   6.0 kB/s | ETA: 00:00:00 | 100%

sidebar.md                | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

basic.js                  | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

transport.js              | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

favicon-16x16.png         | 0 kB |   0.9 kB/s | ETA: 00:00:00 | 100%

favicon-32x32.png         | 1 kB |   1.5 kB/s | ETA: 00:00:00 | 100%

favicon.ico               | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  27%
